polynomial,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 10*x + 1,-1240,1764,3240,1725,1,0,S5,-36280845567
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 11*x + 1,-1607,1983,3675,2040,1,0,S5,-49418151728
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 12*x + 1,-2040,2220,4140,2385,15,0,S5,-65962784743
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 13*x + 1,-2545,2475,4635,2760,5,0,S5,-86480582592
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 14*x + 1,-3128,2748,5160,3165,1,0,S5,-111582796895
x^5 - 15*x^4 - 15*x^3 - 9*x^2 + 15*x + 1,-3795,3039,5715,3600,3,0,S5,-141926062192
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 15*x + 1,3975,1846,2055,3600,1,0,S5,-95753096719
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 14*x + 1,3312,1644,1740,3165,3,0,S5,-73696072600
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 13*x + 1,2733,1458,1455,2760,3,0,S5,-55821080935
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 12*x + 1,2232,1288,1200,2385,1,0,S5,-41542131904
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 11*x + 1,1803,1134,975,2040,3,0,S5,-30319348207
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 10*x + 1,1440,996,780,1725,3,0,S5,-21658934344
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 9*x + 1,1137,874,615,1440,1,0,S5,-15113145895
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 7*x + 1,687,678,375,960,3,0,S5,-6804538639
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 6*x + 1,528,604,300,765,1,0,S5,-4376209912
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 5*x + 1,405,546,255,600,3,0,S5,-2731425319
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 4*x + 1,312,504,240,465,3,0,S5,-1652235040
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 3*x + 1,243,478,255,360,1,0,S5,-966556015
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - 2*x + 1,192,468,300,285,3,0,S5,-548141224
x^5 - 15*x^4 - 15*x^3 - 8*x^2 - x + 1,153,474,375,240,3,0,S5,-316548967
x^5 - 15*x^4 - 15*x^3 - 8*x^2 + 1,120,496,480,225,1,0,S5,-237112144
x^5 - 15*x^4 - 15*x^3 - 8*x^2 + x + 1,87,534,615,240,3,0,S5,-320907535
x^5 - 15*x^4 - 15*x^3 - 8*x^2 + 2*x + 1,48,588,780,285,3,0,S5,-624725080
x^5 - 15*x^4 - 15*x^3 - 8*x^2 + 3*x + 1,-3,658,975,360,1,0,S5,-1251037159
x^5 - 15*x^4 - 15*x^3 - 8*x^2 + 4*x + 1,-72,744,1200,465,3,0,S5,-2347967872
