polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 3*x^4 - 4*x^3 + 16*x^2 - 3*x + 1,19,-102,141,-216,411,-42,-31,1,0,A5,10758400
x^5 - 3*x^4 - 4*x^3 + 16*x^2 + 21*x + 1,19,-102,-219,288,555,534,401,1,0,A5,178489600
x^5 - 3*x^4 + x^3 + 11*x^2 - 3*x + 1,13/2,-87,96,-66,231,-57,-37/2,1/2,0,A5,12673600
x^5 - 3*x^4 + 2*x^3 + x^2 + 3*x + 1,4,-33/2,-69/2,42,75/2,-21/2,13/2,1/2,0,A5,133225
x^5 - 3*x^4 + 4*x^3 + 8*x^2 - 3*x + 1,-1,-78,105,-24,159,-66,-11,1,0,A5,8952064
x^5 - 3*x^4 + 4*x^3 + 12*x^2 - 7*x + 1,-1,-108,183,-76,303,-156,19,1,0,A5,3154176
x^5 - 3*x^4 + 5*x^3 - 13*x^2 + 17*x + 1,-7/2,75,-276,202,171,-369,643/2,1/2,0,A5,69889600
x^5 - 3*x^4 + 5*x^3 + 11*x^2 + x + 1,-7/2,-105,72,106,219,-21,-53/2,1/2,0,A5,31449664
x^5 - 3*x^4 + 8*x^3 - 8*x^2 + 9*x + 1,-11,24,-75,36,33,-168,101,1,0,A5,473344
x^5 - 3*x^4 + 8*x^3 + 4*x^2 - 3*x + 1,-11,-66,159,-24,105,-78,-1,1,0,A5,8952064
x^5 - 3*x^4 + 8*x^3 + 16*x^2 + 9*x + 1,-11,-156,33,420,321,156,41,1,0,A5,28047616
x^5 - 3*x^4 + 10*x^3 - 19*x^2 + 11*x + 1,-16,195/2,-201/2,-174,843/2,-777/2,337/2,1/2,0,A5,3003289
x^5 - 3*x^4 + 10*x^3 + 3*x^2 + 17*x + 1,-16,-135/2,-183/2,392,-393/2,3/2,563/2,1/2,0,A5,1189629081
x^5 - 3*x^4 + 11*x^3 - 7*x^2 + 5*x + 1,-37/2,3,75,-74,36,-135,85/2,1/2,0,A5,14807104
