polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 4*x^4 + 12*x^3 + 15*x^2 + 8*x + 1,53/2,90,267/2,111,6,-81/2,-14,1/2,0,D(5),229441
x^5 + 4*x^4 + 13*x^3 + 15*x^2 + 7*x + 1,23/2,60,141,169,117/2,-69/2,-33/2,1/2,0,D(5),55225
x^5 + 4*x^4 + 13*x^3 + 17*x^2 + 9*x + 1,77/2,132,198,165,33/2,-99/2,-33/2,11/2,0,D(5),717409
x^5 + 4*x^4 + 13*x^3 + 23*x^2 + 22*x + 1,853/2,1323/2,609/2,-43,-429/2,-189/2,-33/2,1/2,0,D(5),70291456
x^5 + 4*x^4 + 14*x^3 + 19*x^2 + 10*x + 1,105/2,180,543/2,227,30,-117/2,-19,1/2,0,D(5),1868689
x^5 + 4*x^4 + 14*x^3 + 21*x^2 + 24*x + 1,1047/2,651,195/2,-109,-192,-147/2,-19,1/2,0,D(5),12780625
x^5 + 4*x^4 + 15*x^3 + 21*x^2 + 11*x + 1,137/2,234,354,297,93/2,-135/2,-43/2,1/2,0,D(5),4255969
x^5 + 4*x^4 + 16*x^3 - 7*x^2 - 2*x + 1,43/2,-99,123/2,-193,456,297/2,-24,1/2,0,D(5),34000561
x^5 + 4*x^4 + 16*x^3 + 23*x^2 + 12*x + 1,173/2,294,891/2,375,66,-153/2,-24,1/2,0,D(5),8755681
x^5 + 4*x^4 + 17*x^3 + 25*x^2 + 13*x + 1,213/2,360,546,461,177/2,-171/2,-53/2,1/2,0,D(5),16638241
x^5 + 4*x^4 + 18*x^3 - 11*x^2 + 1,55/2,-135,243/2,-421,552,381/2,-29,1/2,0,D(5),167055625
x^5 + 5*x^4 - 15*x^3 + 17*x^2 - 7*x + 1,13/2,-66,201,-290,315,-240,125/2,1/2,0,D(5),512656
x^5 + 5*x^4 - 13*x^3 - 9*x^2 + 18*x + 1,693/2,-291/2,795/2,-421,51,-30,115/2,1/2,0,D(5),988662249
x^5 + 5*x^4 - 11*x^3 + 7*x^2 - 2*x + 1,-27/2,123/2,-69/2,-109,159,-135,105/2,1/2,0,D(5),1868689
x^5 + 5*x^4 - 7*x^3 + 8*x^2 - 3*x + 1,-11,33/2,-21/2,-32,117/2,-225/2,85/2,1/2,0,D(5),373321
x^5 + 5*x^4 - 3*x^3 - 11*x^2 + 6*x + 1,127/2,-153/2,267/2,-169,6,60,65/2,1/2,0,D(5),13024881
x^5 + 5*x^4 - x^3 - 13*x^2 + 3*x + 1,83/2,-51,183,-104,54,90,55/2,1/2,0,D(5),19114384
x^5 + 5*x^4 - 23*x^2 - 15*x + 1,565/2,1035/2,1437/2,500,795/2,345/2,25,1/2,0,D(5),13024881
x^5 + 5*x^4 + 3*x^2 - x + 1,-13/2,-9/2,-123/2,10,-15/2,-45/2,25,1/2,0,D(5),505521
x^5 + 5*x^4 + 3*x^3 - x^2 - x + 1,7/2,-21,-69,4,36,30,35/2,1/2,0,D(5),274576
x^5 + 5*x^4 + 5*x^3 + 7*x^2 + 1,-35/2,-75/2,-3/2,45,-15,-15,25/2,1/2,0,D(5),1713481
x^5 + 5*x^4 + 8*x^3 + 11*x^2 + x + 1,-53/2,-87/2,189/2,116,-3/2,-45/2,5,1/2,0,D(5),4549689
x^5 + 5*x^4 + 9*x^3 + 9*x^2 + 4*x + 1,-13/2,-27/2,-15/2,-3,-6,0,5/2,1/2,1,D(5),2209
x^5 + 5*x^4 + 9*x^3 + 9*x^2 + 9*x + 1,117/2,54,-75,-178,-81,0,5/2,1/2,1,D(5),824464
x^5 + 5*x^4 + 10*x^3 + 7*x^2 + x + 1,-33/2,-129/2,-33/2,80,165/2,45/2,0,1/2,1,D(5),55225
x^5 + 5*x^4 + 12*x^3 + 15*x^2 + 11*x + 1,167/2,315/2,129/2,-50,-123/2,-45/2,-5,1/2,0,D(5),145161
x^5 + 5*x^4 + 17*x^3 + 2*x^2 + x + 1,-4,-249/2,-189/2,8,807/2,225/2,-35/2,1/2,0,D(5),74183769
x^5 + 6*x^4 - 24*x^3 + 9*x^2 + 14*x + 1,347/2,369,1071/2,-1045,573,-567/2,96,1/2,0,D(5),817674025
x^5 + 6*x^4 - 17*x^3 + 7*x^2 + 3*x + 1,-17/2,159,60,-389,651/2,-411/2,157/2,1/2,0,D(5),4549689
x^5 + 6*x^4 - 15*x^3 - 10*x^2 + 20*x + 1,425,-375/2,510,-565,255/2,-60,147/2,1/2,0,D(5),3079251081
x^5 + 6*x^4 - 13*x^3 + 8*x^2 - 2*x + 1,-16,147/2,-33,-149,423/2,-177,137/2,1/2,0,D(5),4255969
x^5 + 6*x^4 - 11*x^3 - 3*x^2 + 5*x + 1,65/2,60,6,-169,267/2,-153/2,127/2,1/2,0,D(5),13024881
x^5 + 6*x^4 - 6*x^3 + 5*x^2 + 4*x + 1,7/2,75,-33/2,-253,-51,-183/2,51,1/2,0,D(5),34515625
x^5 + 6*x^4 - 3*x^3 - x^2 - x + 1,7/2,24,-93,23,75/2,-39/2,87/2,1/2,0,D(5),915849
x^5 + 6*x^4 + x^3 + 5*x^2 + 2*x + 1,-17/2,15/2,-111/2,-99,-147/2,-57/2,67/2,1/2,0,D(5),2050624
x^5 + 6*x^4 + 5*x^3 + 5*x^2 - 5*x + 1,25/2,-75,-15,235,135/2,15/2,47/2,1/2,0,D(5),3455881
x^5 + 6*x^4 + 5*x^3 + 5*x^2 + x + 1,-23/2,-30,-60,-17,-45/2,15/2,47/2,1/2,0,D(5),267289
x^5 + 6*x^4 + 8*x^3 - x^2 + 8*x + 1,133/2,-72,-369/2,-377,-15,159/2,16,1/2,0,D(5),2122849
x^5 + 6*x^4 + 10*x^3 + 9*x^2 + 2*x + 1,-37/2,-48,3/2,71,39,45/2,11,1/2,0,D(5),505521
x^5 + 6*x^4 + 11*x^3 - 11*x^2 + 1,55/2,-165/2,183/2,-267,561/2,363/2,17/2,1/2,0,D(5),1098304
x^5 + 6*x^4 + 11*x^3 + 5*x^2 - x + 1,-23/2,-90,-36,127,303/2,123/2,17/2,1/2,0,D(5),2209
x^5 + 6*x^4 + 11*x^3 + 10*x^2 + 4*x + 1,-9,-45/2,-6,27,63/2,24,17/2,1/2,0,D(5),10609
x^5 + 6*x^4 + 15*x^3 + 15*x^2 - x + 1,-73/2,-135,270,467,435/2,45/2,-3/2,1/2,0,D(5),4092529
x^5 + 6*x^4 + 19*x^3 - x^2 - x + 1,7/2,-141,-60,-21,1131/2,357/2,-23/2,1/2,0,D(5),147744025
x^5 + 6*x^4 + 19*x^3 + 20*x^2 + 8*x + 1,14,195/2,282,399,483/2,21,-23/2,1/2,0,D(5),2209
x^5 + 6*x^4 + 25*x^3 - 8*x^2 + 1,20,-375/2,6,-425,2019/2,285,-53/2,1/2,0,D(5),935809281
x^5 + 7*x^4 - 17*x^3 - 11*x^2 + 22*x + 1,1023/2,-471/2,1275/2,-729,219,-96,183/2,3/2,0,D(5),8143799049
x^5 + 7*x^4 - 15*x^3 + 9*x^2 - 2*x + 1,-37/2,171/2,-57/2,-197,273,-225,173/2,1/2,0,D(5),8755681
x^5 + 7*x^4 - 7*x^3 - 23*x^2 + 19*x + 1,837/2,-603,888,-634,30,99,133/2,1/2,0,D(5),4089858304
x^5 + 7*x^4 - x^3 - x^2 - 2*x + 1,13/2,21/2,-213/2,75,42,-3,103/2,1/2,0,D(5),859329
x^5 + 7*x^4 - x^3 + 19*x^2 - 2*x + 1,-87/2,-99/2,867/2,35,-168,-153,103/2,1/2,0,D(5),824666089
x^5 + 7*x^4 + 3*x^3 - 3*x^2 - 2*x + 1,23/2,-27/2,-165/2,55,75,54,83/2,1/2,0,D(5),305809
x^5 + 7*x^4 + 3*x^3 + 4*x^2 + x + 1,-9,-33/2,-171/2,-50,-87/2,3/2,83/2,1/2,0,D(5),693889
x^5 + 7*x^4 + 7*x^3 - 25*x^2 + 12*x + 1,413/2,-1005/2,1413/2,-963,156,261,63/2,1/2,0,D(5),165765625
x^5 + 7*x^4 + 8*x^3 + 5*x^2 + 3*x + 1,-7/2,-75/2,-207/2,-92,-3/2,93/2,29,1/2,0,D(5),55225
x^5 + 7*x^4 + 9*x^3 - 11*x^2 - 8*x + 1,183/2,129/2,369/2,169,357,177,53/2,1/2,0,D(5),32706961
x^5 + 7*x^4 + 11*x^3 + 8*x^2 - x + 1,-19,-189/2,15/2,200,225/2,111/2,43/2,1/2,0,D(5),7733961
x^5 + 7*x^4 + 13*x^3 + 11*x^2 + 4*x + 1,-23/2,-63/2,-3/2,65,78,54,33/2,1/2,0,D(5),57121
x^5 + 7*x^4 + 15*x^3 + 6*x^2 - 5*x + 1,10,-315/2,123/2,400,699/2,225/2,23/2,1/2,0,D(5),265225
x^5 + 7*x^4 + 15*x^3 + 7*x^2 + x + 1,-33/2,-102,-54,136,249,105,23/2,1/2,0,D(5),824464
x^5 + 7*x^4 + 15*x^3 + 13*x^2 + 4*x + 1,-33/2,-69/2,117/2,169,141,60,23/2,1/2,0,D(5),55225
x^5 + 7*x^4 + 19*x^3 + 24*x^2 + 13*x + 1,109,651/2,777/2,250,189/2,39/2,3/2,1/2,0,D(5),2209
x^5 + 7*x^4 + 20*x^3 - x^2 - x + 1,7/2,-297/2,-147/2,-16,1251/2,435/2,-1,1,0,D(5),140493609
x^5 + 8*x^4 - 21*x^3 - 21*x^2 + 16*x + 1,617/2,-693/2,2091/2,-39,1347/2,-189/2,233/2,1/2,0,D(5),69135340096
x^5 + 8*x^4 - 19*x^3 - 12*x^2 + 24*x + 1,606,-579/2,780,-913,651/2,-138,223/2,1/2,0,D(5),19144319769
x^5 + 8*x^4 - 18*x^3 + 15*x^2 - 6*x + 1,-3/2,0,111/2,-229,396,-657/2,109,1/2,1,D(5),2209
x^5 + 8*x^4 - 17*x^3 + 10*x^2 - 2*x + 1,-21,195/2,-21,-253,687/2,-279,213/2,1/2,0,D(5),16638241
x^5 + 8*x^4 - 16*x^3 + 15*x^2 - 6*x + 1,-3/2,-15,147/2,-169,294,-609/2,104,1/2,0,D(5),859329
x^5 + 8*x^4 - 13*x^3 - 13*x^2 + 1,65/2,195/2,267/2,313,819/2,-117/2,193/2,1/2,0,D(5),76457536
x^5 + 8*x^4 - 7*x^3 - 22*x^2 - 8*x + 1,119,633/2,522,731,915/2,81,163/2,1/2,0,D(5),117223929
x^5 + 8*x^4 - 4*x^3 - 3*x^2 + 1,15/2,30,-213/2,-1,60,-51/2,74,1,0,D(5),1734489
