polynomial,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 - 2*x^4 + 10*x^3 - 17*x^2 + 8*x + 1,-21,195/2,-21,-253,687/2,-279,213/2,1/2,0,D(5),16638241
x^5 - 2*x^4 + 11*x^3 - 19*x^2 + 9*x + 1,-47/2,219/2,-21/2,-317,423,-339,257/2,1/2,0,D(5),29669809
x^5 - 2*x^4 + 11*x^3 + 11*x^2 + 3*x + 1,-47/2,-231/2,339/2,259,162,-33,-37/2,1/2,0,D(5),29214025
x^5 - 2*x^4 + 12*x^3 - 21*x^2 + 10*x + 1,-26,243/2,3,-389,1023/2,-405,305/2,1/2,0,D(5),50225569
x^5 - 2*x^4 + 13*x^3 - 23*x^2 + 11*x + 1,-57/2,267/2,39/2,-469,609,-477,357/2,1/2,0,D(5),81414529
x^5 - 2*x^4 + 14*x^3 - 25*x^2 + 12*x + 1,-31,291/2,39,-557,1431/2,-555,413/2,1/2,0,D(5),127215841
x^5 - 2*x^4 + 14*x^3 + 5*x^2 - 6*x + 1,-31,-159/2,399,31,387/2,-150,47/2,1/2,0,D(5),2474329
x^5 - 2*x^4 + 17*x^3 - 11*x^2 + 10*x + 1,-77/2,63/2,501/2,-259,-87/2,-585/2,255/2,1/2,0,D(5),953080384
x^5 - 2*x^4 + 19*x^3 - x^2 + 7*x + 1,-87/2,-99/2,867/2,35,-168,-153,103/2,1/2,0,D(5),824666089
x^5 - x^4 - 9*x^3 + 15*x^2 + 2*x + 1,47/2,-99,114,-281,759/2,225/2,-67/2,1/2,0,D(5),24770529
x^5 - x^4 - 5*x^3 + 10*x^2 + 19*x + 1,27/2,-135/2,-465/2,8,615/2,645/2,336,1/2,0,D(5),8970025
x^5 - x^4 - 3*x^3 + 3*x^2 + 4*x + 1,17/2,-18,-42,-15,93/2,81/2,17/2,1/2,0,D(5),2209
x^5 - x^4 - x^3 - 3*x^2 + 6*x + 1,7/2,24,-93,23,75/2,-39/2,87/2,1/2,0,D(5),915849
x^5 - x^4 - x^3 + 3*x^2 + 2*x + 1,7/2,-21,-24,-17,63/2,33/2,-7/2,1/2,0,D(5),55225
x^5 - x^4 - x^3 + 3*x^2 + 5*x + 1,7/2,-21,-69,4,36,30,35/2,1/2,0,D(5),274576
x^5 - x^4 - x^3 + 19*x^2 + 6*x + 1,7/2,-141,-60,-21,1131/2,357/2,-23/2,1/2,0,D(5),147744025
x^5 - x^4 - x^3 + 20*x^2 + 7*x + 1,7/2,-297/2,-147/2,-16,1251/2,435/2,-1,1,0,D(5),140493609
x^5 - x^4 + x^3 + x^2 - 2*x + 1,-3/2,-9,33,-37,39/2,-21/2,3/2,1/2,0,D(5),2209
x^5 - x^4 + 3*x^3 + 5*x + 1,-13/2,-9/2,-123/2,10,-15/2,-45/2,25,1/2,0,D(5),505521
x^5 - x^4 + 3*x^3 + 3*x^2 - 3*x + 1,-13/2,-27,63,-28,42,-36,3/2,1/2,0,D(5),274576
x^5 - x^4 + 3*x^3 + 12*x^2 - 7*x + 1,-13/2,-189/2,273/2,-2,525/2,-297/2,19,1/2,0,D(5),2387025
x^5 - x^4 + 5*x^3 + 11*x^2 + 6*x + 1,-23/2,-90,-36,127,303/2,123/2,17/2,1/2,0,D(5),2209
x^5 - x^4 + 8*x^3 + 11*x^2 + 7*x + 1,-19,-189/2,15/2,200,225/2,111/2,43/2,1/2,0,D(5),7733961
x^5 - x^4 + 10*x^3 + 7*x^2 + 13*x + 1,-24,-135/2,-69/2,206,-213/2,123/2,303/2,1/2,0,D(5),299393809
x^5 - x^4 + 12*x^3 - 7*x^2 + 23*x + 1,-29,69/2,-279/2,-32,-651/2,-663/2,1093/2,1/2,0,D(5),466862449
x^5 - x^4 + 15*x^3 + 15*x^2 + 6*x + 1,-73/2,-135,270,467,435/2,45/2,-3/2,1/2,0,D(5),4092529
