polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,gcd,zero_terms,galois_group,discriminant
x^5 + x^4 - 2*x^3 - x^2 + 3*x + 1,(-24)*x^4 + (-39)*x^3 + (-24)*x^2 + (9)*x^1 + (13),(-24) * (x^4 + 13/8*x^3 + x^2 - 3/8*x - 13/24),-24,-39,-24,9,13,1,0,D(5),16129
x^5 + x^4 - x^3 + 3*x + 1,(-35)*x^4 + (-51)*x^3 + (-21)*x^2 + (19)*x^1 + (14),(-35) * (x^4 + 51/35*x^3 + 3/5*x^2 - 19/35*x - 2/5),-35,-51,-21,19,14,1,0,D(5),20449
x^5 + x^4 - x^3 + 11*x^2 - 6*x + 1,(166)*x^4 + (-131)*x^3 + (1141)*x^2 + (-620)*x^1 + (96),(166) * (x^4 - 131/166*x^3 + 1141/166*x^2 - 310/83*x + 48/83),166,-131,1141,-620,96,1,0,D(5),2798929
x^5 + x^4 + x^2 + 3*x + 1,(-38)*x^4 + (-47)*x^3 + (-8)*x^2 + (29)*x^1 + (15),(-38) * (x^4 + 47/38*x^3 + 4/19*x^2 - 29/38*x - 15/38),-38,-47,-8,29,15,1,0,D(5),14161
x^5 + x^4 + 7*x^2 - 5*x + 1,(118)*x^4 + (3)*x^3 + (438)*x^2 + (-321)*x^1 + (61),(118) * (x^4 + 3/118*x^3 + 219/59*x^2 - 321/118*x + 61/118),118,3,438,-321,61,1,0,D(5),373321
x^5 + x^4 + 9*x^2 + 13*x + 1,(-140)*x^4 + (-125)*x^3 + (710)*x^2 + (1065)*x^1 + (215),(-140) * (x^4 + 25/28*x^3 - 71/14*x^2 - 213/28*x - 43/28),-140,-125,710,1065,215,5,0,D(5),4305625
x^5 + x^4 + x^3 + 2*x^2 + 3*x + 1,(-33)*x^4 + (-27)*x^3 + (15)*x^2 + (39)*x^1 + (16),(-33) * (x^4 + 9/11*x^3 - 5/11*x^2 - 13/11*x - 16/33),-33,-27,15,39,16,1,0,D(5),6241
x^5 + x^4 + x^3 + 5*x^2 + 4*x + 1,(-30)*x^4 + (-1)*x^3 + (195)*x^2 + (162)*x^1 + (38),(-30) * (x^4 + 1/30*x^3 - 13/2*x^2 - 27/5*x - 19/15),-30,-1,195,162,38,1,0,D(5),20449
x^5 + x^4 + 2*x^3 + 3*x^2 + 3*x + 1,(-20)*x^4 + (9)*x^3 + (48)*x^2 + (49)*x^1 + (17),(-20) * (x^4 - 9/20*x^3 - 12/5*x^2 - 49/20*x - 17/20),-20,9,48,49,17,1,0,D(5),2209
x^5 + x^4 + 2*x^3 + 17*x^2 + 5*x + 1,(34)*x^4 + (317)*x^3 + (2472)*x^2 + (719)*x^1 + (103),(34) * (x^4 + 317/34*x^3 + 1236/17*x^2 + 719/34*x + 103/34),34,317,2472,719,103,1,0,D(5),74183769
