polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,term_4,term_5,term_6,gcd,zero_terms,galois_group,discriminant
x^5 + 4*x^4 - 13*x^3 + 13*x^2 - 5*x + 1,(97/2)*x^6 + (-351/2)*x^5 + (501/2)*x^4 + (-223)*x^3 + (96)*x^2 + (0)*x^1 + (-15/2),(97/2) * (x^6 - 351/97*x^5 + 501/97*x^4 - 446/97*x^3 + 192/97*x^2 - 15/97),97/2,-351/2,501/2,-223,96,0,-15/2,1/2,1,A5,426409
x^5 + 4*x^4 - 11*x^3 - 23*x^2 + 2*x + 1,(87/2)*x^6 + (213/2)*x^5 + (579/2)*x^4 + (425)*x^3 + (1533/2)*x^2 + (27/2)*x^1 + (123/2),(87/2) * (x^6 + 71/29*x^5 + 193/29*x^4 + 850/87*x^3 + 511/29*x^2 + 9/29*x + 41/29),87/2,213/2,579/2,425,1533/2,27/2,123/2,1/2,0,A5,894847396
x^5 + 4*x^4 - 11*x^3 - 13*x^2 + 22*x + 1,(87/2)*x^6 + (63/2)*x^5 + (-141/2)*x^4 + (-355)*x^3 + (1113/2)*x^2 + (-693/2)*x^1 + (1033/2),(87/2) * (x^6 + 21/29*x^5 - 47/29*x^4 - 710/87*x^3 + 371/29*x^2 - 231/29*x + 1033/87),87/2,63/2,-141/2,-355,1113/2,-693/2,1033/2,1/2,0,A5,1211318416
x^5 + 4*x^4 - 11*x^3 + 5*x^2 + x + 1,(87/2)*x^6 + (-207/2)*x^5 + (273/2)*x^4 + (-163)*x^3 + (-6)*x^2 + (90)*x^1 + (-23/2),(87/2) * (x^6 - 69/29*x^5 + 91/29*x^4 - 326/87*x^3 - 4/29*x^2 + 60/29*x - 23/87),87/2,-207/2,273/2,-163,-6,90,-23/2,1/2,0,A5,4338889
x^5 + 4*x^4 - 9*x^3 - 17*x^2 + 1,(77/2)*x^6 + (147/2)*x^5 + (447/2)*x^4 + (281)*x^3 + (747/2)*x^2 + (135/2)*x^1 + (85/2),(77/2) * (x^6 + 21/11*x^5 + 447/77*x^4 + 562/77*x^3 + 747/77*x^2 + 135/77*x + 85/77),77/2,147/2,447/2,281,747/2,135/2,85/2,1/2,0,A5,183331600
x^5 + 4*x^4 - 9*x^3 - 5*x^2 + 7*x + 1,(77/2)*x^6 + (-33/2)*x^5 + (93/2)*x^4 + (-131)*x^3 + (72)*x^2 + (15)*x^1 + (123/2),(77/2) * (x^6 - 3/7*x^5 + 93/77*x^4 - 262/77*x^3 + 144/77*x^2 + 30/77*x + 123/77),77/2,-33/2,93/2,-131,72,15,123/2,1/2,0,A5,30991489
x^5 + 4*x^4 + x^3 - 17*x^2 + 16*x + 1,(27/2)*x^6 + (267/2)*x^5 + (-273/2)*x^4 + (-507)*x^3 + (699/2)*x^2 + (-831/2)*x^1 + (597/2),(27/2) * (x^6 + 89/9*x^5 - 91/9*x^4 - 338/9*x^3 + 233/9*x^2 - 277/9*x + 199/9),27/2,267/2,-273/2,-507,699/2,-831/2,597/2,3/2,0,A5,693479556
x^5 + 4*x^4 + x^3 + 7*x^2 - 2*x + 1,(27/2)*x^6 + (-93/2)*x^5 + (-21/2)*x^4 + (45)*x^3 + (33/2)*x^2 + (-57/2)*x^1 + (-27/2),(27/2) * (x^6 - 31/9*x^5 - 7/9*x^4 + 10/3*x^3 + 11/9*x^2 - 19/9*x - 1),27/2,-93/2,-21/2,45,33/2,-57/2,-27/2,3/2,0,A5,2862864
x^5 + 4*x^4 + x^3 + 8*x^2 - 2*x + 1,(27/2)*x^6 + (-54)*x^5 + (-33/2)*x^4 + (47)*x^3 + (39)*x^2 + (-63/2)*x^1 + (-16),(27/2) * (x^6 - 4*x^5 - 11/9*x^4 + 94/27*x^3 + 26/9*x^2 - 7/3*x - 32/27),27/2,-54,-33/2,47,39,-63/2,-16,1/2,0,A5,5058001
x^5 + 4*x^4 + 5*x^3 - 16*x^2 + 16*x + 1,(7/2)*x^6 + (150)*x^5 + (-213/2)*x^4 + (-633)*x^3 + (204)*x^2 + (-843/2)*x^1 + (296),(7/2) * (x^6 + 300/7*x^5 - 213/7*x^4 - 1266/7*x^3 + 408/7*x^2 - 843/7*x + 592/7),7/2,150,-213/2,-633,204,-843/2,296,1/2,0,A5,1946133225
x^5 + 4*x^4 + 5*x^3 + 14*x^2 + 6*x + 1,(7/2)*x^6 + (-75)*x^5 + (-273/2)*x^4 + (-53)*x^3 + (189)*x^2 + (177/2)*x^1 + (1),(7/2) * (x^6 - 150/7*x^5 - 39*x^4 - 106/7*x^3 + 54*x^2 + 177/7*x + 2/7),7/2,-75,-273/2,-53,189,177/2,1,1,0,A5,6838225
x^5 + 4*x^4 + 7*x^3 + 7*x^2 - 5*x + 1,(-3/2)*x^6 + (-21/2)*x^5 + (213/2)*x^4 + (213)*x^3 + (66)*x^2 + (-105)*x^1 + (15/2),(-3/2) * (x^6 + 7*x^5 - 71*x^4 - 142*x^3 - 44*x^2 + 70*x - 5),-3/2,-21/2,213/2,213,66,-105,15/2,3/2,0,A5,1896129
x^5 + 4*x^4 + 7*x^3 + 14*x^2 + 18*x + 1,(-3/2)*x^6 + (-63)*x^5 + (-561/2)*x^4 + (-333)*x^3 + (45)*x^2 + (651/2)*x^1 + (289),(-3/2) * (x^6 + 42*x^5 + 187*x^4 + 222*x^3 - 30*x^2 - 217*x - 578/3),-3/2,-63,-561/2,-333,45,651/2,289,1/2,0,A5,16654561
x^5 + 4*x^4 + 8*x^3 + 7*x^2 - 5*x + 1,(-4)*x^6 + (-9/2)*x^5 + (129)*x^4 + (227)*x^3 + (147/2)*x^2 + (-225/2)*x^1 + (15/2),(-4) * (x^6 + 9/8*x^5 - 129/4*x^4 - 227/4*x^3 - 147/8*x^2 + 225/8*x - 15/8),-4,-9/2,129,227,147/2,-225/2,15/2,1/2,0,A5,1779556
