polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 14*x^3 + 23*x^2 - 9*x + 1,(1528)*x^3 + (-2660)*x^2 + (1048)*x^1 + (-115),(1528) * (x^3 - 665/382*x^2 + 131/191*x - 115/1528),1528,-2660,1048,-115,1,0,A4,26569
x^4 - 13*x^3 + 14*x^2 + 9*x + 1,(1397)*x^3 + (-1364)*x^2 + (-913)*x^1 + (-88),(1397) * (x^3 - 124/127*x^2 - 83/127*x - 8/127),1397,-1364,-913,-88,11,0,A4,894916
x^4 - 12*x^3 - 4*x^2 + 4*x + 1,(1888)*x^3 + (720)*x^2 + (-544)*x^1 + (-128),(1888) * (x^3 + 45/118*x^2 - 17/59*x - 4/59),1888,720,-544,-128,16,0,A4,473344
x^4 - 12*x^3 + 20*x^2 + 20*x + 1,(608)*x^3 + (-816)*x^2 + (-1184)*x^1 + (256),(608) * (x^3 - 51/38*x^2 - 37/19*x + 8/19),608,-816,-1184,256,16,0,A4,20502784
x^4 - 12*x^3 + 23*x^2 + 11*x + 1,(536)*x^3 + (-948)*x^2 + (-476)*x^1 + (-23),(536) * (x^3 - 237/134*x^2 - 119/134*x - 23/536),536,-948,-476,-23,1,0,A4,877969
x^4 - 11*x^3 + 23*x^2 + 12*x + 1,(223)*x^3 + (-419)*x^2 + (-260)*x^1 + (23),(223) * (x^3 - 419/223*x^2 - 260/223*x + 23/223),223,-419,-260,23,1,0,A4,877969
x^4 - 10*x^3 + 5*x^2 + 6*x + 1,(752)*x^3 + (-296)*x^2 + (-400)*x^1 + (-64),(752) * (x^3 - 37/94*x^2 - 25/47*x - 4/47),752,-296,-400,-64,8,0,A4,61504
x^4 - 9*x^3 - 7*x^2 + 18*x + 1,(837)*x^3 + (1071)*x^2 + (-1890)*x^1 + (243),(837) * (x^3 + 119/93*x^2 - 70/31*x + 9/31),837,1071,-1890,243,9,0,A4,24235929
x^4 - 9*x^3 + 11*x^2 + 8*x + 1,(269)*x^3 + (-279)*x^2 + (-224)*x^1 + (-17),(269) * (x^3 - 279/269*x^2 - 224/269*x - 17/269),269,-279,-224,-17,1,0,A4,121801
x^4 - 9*x^3 + 14*x^2 + 13*x + 1,(121)*x^3 + (-132)*x^2 + (-253)*x^1 + (88),(121) * (x^3 - 12/11*x^2 - 23/11*x + 8/11),121,-132,-253,88,11,0,A4,894916
x^4 - 9*x^3 + 15*x^2 + 20*x + 1,(29)*x^3 + (29)*x^2 + (-348)*x^1 + (319),(29) * (x^3 + x^2 - 12*x + 11),29,29,-348,319,29,0,A4,1151329
x^4 - 9*x^3 + 21*x^2 - 2*x + 1,(-11)*x^3 + (11)*x^2 + (66)*x^1 + (-77),(-11) * (x^3 - x^2 - 6*x + 7),-11,11,66,-77,11,0,A4,43681
x^4 - 9*x^3 + 23*x^2 - 14*x + 1,(13)*x^3 + (-15)*x^2 + (-82)*x^1 + (115),(13) * (x^3 - 15/13*x^2 - 82/13*x + 115/13),13,-15,-82,115,1,0,A4,26569
