polynomial,polynomial_reconstructed,factors,term_0,term_1,term_2,term_3,gcd,zero_terms,galois_group,discriminant
x^4 - 11*x^3 - 6*x^2 + 11*x + 1,(1507)*x^3 + (1096)*x^2 + (-1507)*x^1 + (0),(1507) * x * (x^2 + 8/11*x - 1),1507,1096,-1507,0,137,1,C(4),10285412
x^4 - 11*x^3 + 21*x^2 - 11*x + 1,(495)*x^3 + (-1035)*x^2 + (495)*x^1 + (0),(495) * x * (x^2 - 23/11*x + 1),495,-1035,495,0,45,1,C(4),91125
x^4 - 10*x^3 - 6*x^2 + 10*x + 1,(1160)*x^3 + (928)*x^2 + (-1160)*x^1 + (0),(1160) * x * (x^2 + 4/5*x - 1),1160,928,-1160,0,232,1,C(4),6243584
x^4 - 9*x^3 - 6*x^2 + 9*x + 1,(873)*x^3 + (776)*x^2 + (-873)*x^1 + (0),(873) * x * (x^2 + 8/9*x - 1),873,776,-873,0,97,1,C(4),3650692
x^4 - 9*x^3 - 4*x^2 + 6*x + 1,(825)*x^3 + (480)*x^2 + (-510)*x^1 + (-45),(825) * (x - 3/5) * (x^2 + 13/11*x + 1/11),825,480,-510,-45,15,0,C(4),946125
x^4 - 9*x^3 + 19*x^2 - 9*x + 1,(117)*x^3 + (-273)*x^2 + (117)*x^1 + (0),(117) * x * (x^2 - 7/3*x + 1),117,-273,117,0,39,1,C(4),19773
x^4 - 8*x^3 - 11*x^2 - 2*x + 1,(880)*x^3 + (1140)*x^2 + (280)*x^1 + (-60),(880) * (x + 3/4) * (x^2 + 6/11*x - 1/11),880,1140,280,-60,20,0,C(4),2000
x^4 - 8*x^3 - 6*x^2 + 8*x + 1,(640)*x^3 + (640)*x^2 + (-640)*x^1 + (0),(640) * x * (x^2 + x - 1),640,640,-640,0,640,1,C(4),2048000
x^4 - 8*x^3 + 4*x^2 + 13*x + 1,(280)*x^3 + (0)*x^2 + (-560)*x^1 + (105),(280) * (x + 3/2) * (x^2 - 3/2*x + 1/4),280,0,-560,105,35,1,C(4),2211125
x^4 - 8*x^3 + 14*x^2 - 7*x + 1,(120)*x^3 + (-240)*x^2 + (120)*x^1 + (-15),(120) * (x - 1/2) * (x^2 - 3/2*x + 1/4),120,-240,120,-15,15,0,C(4),1125
x^4 - 8*x^3 + 19*x^2 - 12*x + 1,(0)*x^3 + (20)*x^2 + (-80)*x^1 + (80),(20) * (x - 2)^2,0,20,-80,80,20,1,C(4),2000
x^4 - 7*x^3 - 19*x^2 + 7*x + 1,(819)*x^3 + (2457)*x^2 + (-819)*x^1 + (0),(819) * x * (x^2 + 3*x - 1),819,2457,-819,0,819,1,C(4),8719893
x^4 - 7*x^3 - 6*x^2 + 2*x + 1,(495)*x^3 + (450)*x^2 + (-90)*x^1 + (-45),(495) * (x + 1) * (x^2 - 1/11*x - 1/11),495,450,-90,-45,45,0,C(4),91125
x^4 - 7*x^3 - 6*x^2 + 7*x + 1,(455)*x^3 + (520)*x^2 + (-455)*x^1 + (0),(455) * x * (x^2 + 8/7*x - 1),455,520,-455,0,65,1,C(4),1098500
x^4 - 7*x^3 - 6*x^2 + 20*x + 1,(351)*x^3 + (702)*x^2 + (-1404)*x^1 + (351),(351) * (x - 1) * (x^2 + 3*x - 1),351,702,-1404,351,351,0,C(4),14414517
x^4 - 7*x^3 + 9*x^2 + 7*x + 1,(35)*x^3 + (-35)*x^2 + (-35)*x^1 + (0),(35) * x * (x^2 - x - 1),35,-35,-35,0,35,1,C(4),6125
x^4 - 7*x^3 + 14*x^2 - 8*x + 1,(15)*x^3 + (-30)*x^2 + (0)*x^1 + (15),(15) * (x - 1) * (x^2 - x - 1),15,-30,0,15,15,1,C(4),1125
x^4 - 7*x^3 + 19*x^2 - 3*x + 1,(-165)*x^3 + (455)*x^2 + (-25)*x^1 + (-40),(-165) * (x - 8/3) * (x^2 - 1/11*x - 1/11),-165,455,-25,-40,5,0,C(4),465125
x^4 - 6*x^3 - 14*x^2 - x + 1,(560)*x^3 + (1260)*x^2 + (140)*x^1 + (-35),(560) * (x + 1/4) * (x^2 + 2*x - 1/4),560,1260,140,-35,35,0,C(4),741125
x^4 - 6*x^3 - 14*x^2 + 14*x + 1,(440)*x^3 + (1440)*x^2 + (-1240)*x^1 + (160),(440) * (x + 4) * (x^2 - 8/11*x + 1/11),440,1440,-1240,160,40,0,C(4),11552000
x^4 - 6*x^3 - 6*x^2 + 6*x + 1,(312)*x^3 + (416)*x^2 + (-312)*x^1 + (0),(312) * x * (x^2 + 4/3*x - 1),312,416,-312,0,104,1,C(4),562432
x^4 - 6*x^3 - 4*x^2 + 9*x + 1,(240)*x^3 + (300)*x^2 + (-420)*x^1 + (45),(240) * (x - 3/4) * (x^2 + 2*x - 1/4),240,300,-420,45,15,0,C(4),946125
x^4 - 6*x^3 + x^2 + 4*x + 1,(160)*x^3 + (0)*x^2 + (-80)*x^1 + (-20),(160) * (x + 1/2) * (x^2 - 1/2*x - 1/4),160,0,-80,-20,20,1,C(4),2000
x^4 - 6*x^3 + x^2 + 14*x + 1,(80)*x^3 + (120)*x^2 + (-400)*x^1 + (160),(80) * (x - 1/2) * (x^2 + 2*x - 4),80,120,-400,160,40,0,C(4),968000
x^4 - 5*x^3 - 6*x^2 + 5*x + 1,(205)*x^3 + (328)*x^2 + (-205)*x^1 + (0),(205) * x * (x^2 + 8/5*x - 1),205,328,-205,0,41,1,C(4),275684
x^4 - 4*x^3 - 19*x^2 + 16*x + 1,(240)*x^3 + (1860)*x^2 + (-1440)*x^1 + (240),(240) * (x - 1/4) * (x^2 + 8*x - 4),240,1860,-1440,240,60,0,C(4),17298000
x^4 - 4*x^3 - 14*x^2 - 4*x + 1,(320)*x^3 + (960)*x^2 + (320)*x^1 + (0),(320) * x * (x^2 + 3*x + 1),320,960,320,0,320,1,C(4),512000
x^4 - 4*x^3 - 11*x^2 - 4*x + 1,(272)*x^3 + (612)*x^2 + (272)*x^1 + (0),(272) * x * (x^2 + 9/4*x + 1),272,612,272,0,68,1,C(4),78608
x^4 - 4*x^3 - 9*x^2 + 16*x + 1,(80)*x^3 + (580)*x^2 + (-800)*x^1 + (240),(80) * (x - 3/4) * (x^2 + 8*x - 4),80,580,-800,240,20,0,C(4),3362000
x^4 - 4*x^3 - 7*x^2 + 22*x + 1,(0)*x^3 + (468)*x^2 + (-936)*x^1 + (468),(468) * (x - 1)^2,0,468,-936,468,468,1,C(4),2847312
x^4 - 4*x^3 - 6*x^2 + 4*x + 1,(128)*x^3 + (256)*x^2 + (-128)*x^1 + (0),(128) * x * (x^2 + 2*x - 1),128,256,-128,0,128,1,C(4),131072
x^4 - 4*x^3 - 4*x^2 + x + 1,(120)*x^3 + (120)*x^2 + (0)*x^1 + (-15),(120) * (x + 1/2) * (x^2 + 1/2*x - 1/4),120,120,0,-15,15,1,C(4),1125
x^4 - 4*x^3 - 2*x^2 + 12*x + 1,(0)*x^3 + (128)*x^2 + (-256)*x^1 + (128),(128) * (x - 1)^2,0,128,-256,128,128,1,C(4),131072
x^4 - 4*x^3 + x^2 + 6*x + 1,(0)*x^3 + (20)*x^2 + (-40)*x^1 + (20),(20) * (x - 1)^2,0,20,-40,20,20,1,C(4),2000
x^4 - 4*x^3 + 6*x^2 + x + 1,(-40)*x^3 + (40)*x^2 + (40)*x^1 + (-15),(-40) * (x - 3/2) * (x^2 + 1/2*x - 1/4),-40,40,40,-15,5,0,C(4),15125
x^4 - 3*x^3 - x^2 + 3*x + 1,(15)*x^3 + (15)*x^2 + (-15)*x^1 + (0),(15) * x * (x^2 + x - 1),15,15,-15,0,15,1,C(4),1125
x^4 - 3*x^3 + 4*x^2 - 2*x + 1,(-5)*x^3 + (0)*x^2 + (10)*x^1 + (-5),(-5) * (x - 1) * (x^2 + x - 1),-5,0,10,-5,5,1,C(4),125
x^4 - 3*x^3 + 19*x^2 - 7*x + 1,(-145)*x^3 + (1215)*x^2 + (-445)*x^1 + (40),(-145) * (x - 8) * (x^2 - 11/29*x + 1/29),-145,1215,-445,40,5,0,C(4),465125
